query_id	 spl_est	 spl_ci	 aqpp_est	 aqpp_ci	 real_value	 selectively	 time_spl	 time_aqpp	 time_direct	 error_spl	 error_aqpp	  blb_filtering	 blb_resampling	 blb_aggregation	 full_blb
46	170482188159.986938	3631628371.476325	-1.000000	1063668567.783361	18568744461.439999	0.013913	0.033000	0.830000	0.040000	0.195577	0.057283	0.000000	0.000000	0.000000	0.000000
47	759449677140.025146	11772997856.969793	-1.000000	2899390421.576613	18568744461.439999	0.025952	0.024000	0.518000	0.033000	0.634022	0.156144	0.000000	0.000000	0.000000	0.000000
48	779202879840.038696	11920989529.867435	-1.000000	1239045869.267685	18568744461.439999	0.026627	0.022000	0.557000	0.033000	0.641992	0.066727	0.000000	0.000000	0.000000	0.000000
49	951354311799.950439	16110774984.670696	-1.000000	1330836361.134783	18568744461.439999	0.031285	0.022000	0.583000	0.040000	0.867629	0.071671	0.000000	0.000000	0.000000	0.000000
50	1171396451360.101074	17332256213.702690	-1.000000	1628196557.790188	18568744461.439999	0.038538	0.020000	0.586000	0.046000	0.933410	0.087685	0.000000	0.000000	0.000000	0.000000
51	168521683839.988190	3610979482.011268	-1.000000	1013649203.912921	18568744461.439999	0.013753	0.038000	0.828000	0.046000	0.194465	0.054589	0.000000	0.000000	0.000000	0.000000
52	529169532979.988586	13886449645.193897	-1.000000	1821142733.116431	18568744461.439999	0.012357	0.043000	1.093000	0.046000	0.747840	0.098076	0.000000	0.000000	0.000000	0.000000
53	1427351688379.939697	20931040663.602581	-1.000000	1094109798.707633	18568744461.439999	0.041323	0.026000	0.735000	0.062000	1.127219	0.058922	0.000000	0.000000	0.000000	0.000000
54	875822866380.104736	12617036478.333246	-1.000000	1514204631.130233	18568744461.439999	0.029928	0.027000	0.628000	0.038000	0.679477	0.081546	0.000000	0.000000	0.000000	0.000000
55	441379980800.060791	10598180006.576149	-1.000000	1073120787.802242	18568744461.439999	0.020833	0.021000	0.642000	0.035000	0.570754	0.057792	0.000000	0.000000	0.000000	0.000000
56	1285526337119.646729	23911240268.344292	-1.000000	2456792059.550745	18568744461.439999	0.018170	0.027000	0.701000	0.045000	1.287714	0.132308	0.000000	0.000000	0.000000	0.000000
57	1462905128899.936768	23058334480.207996	-1.000000	1144695696.800066	18568744461.439999	0.030222	0.024000	0.640000	0.091000	1.241782	0.061646	0.000000	0.000000	0.000000	0.000000
58	1370774720699.717529	15646343845.024300	-1.000000	1007070517.210661	18568744461.439999	0.046842	0.030000	0.837000	0.049000	0.842617	0.054235	0.000000	0.000000	0.000000	0.000000
59	700239646679.918579	13877271806.875837	-1.000000	820444348.049111	18568744461.439999	0.025808	0.050000	0.988000	0.039000	0.747346	0.044184	0.000000	0.000000	0.000000	0.000000
60	1050686996399.944702	17861784648.016705	-1.000000	625895527.421918	18568744461.439999	0.033450	0.045000	0.907000	0.036000	0.961927	0.033707	0.000000	0.000000	0.000000	0.000000
61	1134175248360.133789	14292363670.498695	-1.000000	965421722.056518	18568744461.439999	0.038757	0.025000	0.604000	0.042000	0.769700	0.051992	0.000000	0.000000	0.000000	0.000000
62	1038168557739.708130	12952576797.318747	-1.000000	1068971939.015089	18568744461.439999	0.044122	0.026000	0.701000	0.057000	0.697547	0.057568	0.000000	0.000000	0.000000	0.000000
63	204954389119.964813	3976217136.287228	-1.000000	0.000000	18568744461.439999	0.016727	0.029000	0.678000	0.040000	0.214135	0.000000	0.000000	0.000000	0.000000	0.000000
64	1864752219040.744385	26459503983.794872	-1.000000	1764749436.927639	18568744461.439999	0.048398	0.022000	0.534000	0.040000	1.424948	0.095039	0.000000	0.000000	0.000000	0.000000
65	595717574759.913086	10456865270.266052	-1.000000	2930889038.397784	18568744461.439999	0.020357	0.020000	0.534000	0.041000	0.563143	0.157840	0.000000	0.000000	0.000000	0.000000
66	784262933639.895142	17791181477.628727	-1.000000	896299714.514193	18568744461.439999	0.013710	0.021000	0.494000	0.038000	0.958125	0.048269	0.000000	0.000000	0.000000	0.000000
67	230258938140.014313	6542447127.643651	-1.000000	1209039935.149665	18568744461.439999	0.007868	0.024000	0.565000	0.038000	0.352337	0.065112	0.000000	0.000000	0.000000	0.000000
68	2576607642898.970703	31018850846.128178	-1.000000	1205924397.584056	18568744461.439999	0.048677	0.026000	0.617000	0.038000	1.670487	0.064944	0.000000	0.000000	0.000000	0.000000
69	1376822614859.706787	15679121821.166962	-1.000000	1268070975.670824	18568744461.439999	0.047048	0.028000	0.680000	0.046000	0.844382	0.068291	0.000000	0.000000	0.000000	0.000000
70	1738051313740.069580	23398222356.866631	-1.000000	3293683311.201623	18568744461.439999	0.039998	0.021000	0.672000	0.055000	1.260086	0.177378	0.000000	0.000000	0.000000	0.000000
71	1313856232919.817627	15333680368.797609	-1.000000	1658108147.128742	18568744461.439999	0.044897	0.033000	0.707000	0.038000	0.825779	0.089296	0.000000	0.000000	0.000000	0.000000
72	1142110138620.125000	20835825689.537792	-1.000000	2909357144.209964	18568744461.439999	0.025082	0.018000	0.468000	0.043000	1.122091	0.156680	0.000000	0.000000	0.000000	0.000000
73	1298850908399.640381	24032536376.587101	-1.000000	1443274906.309475	18568744461.439999	0.018358	0.020000	0.486000	0.034000	1.294247	0.077726	0.000000	0.000000	0.000000	0.000000
74	2666211338158.977051	34091755948.988453	-1.000000	516789956.604015	18568744461.439999	0.037685	0.025000	0.576000	0.039000	1.835975	0.027831	0.000000	0.000000	0.000000	0.000000
75	1214846352719.991943	14770698018.821257	-1.000000	2094368415.466735	18568744461.439999	0.041513	0.022000	0.542000	0.046000	0.795460	0.112790	0.000000	0.000000	0.000000	0.000000
76	199522158399.968292	3924053614.672997	-1.000000	876595976.623626	18568744461.439999	0.016283	0.027000	0.726000	0.038000	0.211326	0.047208	0.000000	0.000000	0.000000	0.000000
77	839340408060.079834	12359393741.477385	-1.000000	886454945.698530	18568744461.439999	0.028682	0.022000	0.542000	0.038000	0.665602	0.047739	0.000000	0.000000	0.000000	0.000000
78	2672107166158.974121	34127951123.656807	-1.000000	0.000000	18568744461.439999	0.037768	0.031000	0.721000	0.038000	1.837925	0.000000	0.000000	0.000000	0.000000	0.000000
79	1209773925360.000732	14741161954.765501	-1.000000	1783309990.626200	18568744461.439999	0.041340	0.033000	0.620000	0.039000	0.793870	0.096038	0.000000	0.000000	0.000000	0.000000
80	1388820856499.685791	15743903087.906076	-1.000000	1264428420.384833	18568744461.439999	0.047458	0.028000	0.617000	0.039000	0.847871	0.068094	0.000000	0.000000	0.000000	0.000000
81	382821945659.955627	8413686706.893624	-1.000000	1257184448.499587	18568744461.439999	0.013082	0.021000	0.525000	0.041000	0.453110	0.067704	0.000000	0.000000	0.000000	0.000000
82	1258888678739.914307	15024249135.329727	-1.000000	1937988492.755899	18568744461.439999	0.043018	0.027000	0.588000	0.042000	0.809115	0.104368	0.000000	0.000000	0.000000	0.000000
83	410113795680.007385	13590432143.281584	-1.000000	730848320.276781	18568744461.439999	0.005797	0.023000	0.528000	0.038000	0.731898	0.039359	0.000000	0.000000	0.000000	0.000000
84	676384893599.921387	14325087115.520077	-1.000000	2036434661.655117	18568744461.439999	0.014490	0.018000	0.456000	0.039000	0.771462	0.109670	0.000000	0.000000	0.000000	0.000000
85	963809971740.164917	13215111994.763720	-1.000000	1535164885.026213	18568744461.439999	0.032935	0.025000	0.617000	0.035000	0.711686	0.082675	0.000000	0.000000	0.000000	0.000000
86	1490253709139.864990	20370841831.380974	-1.000000	1524020950.682097	18568744461.439999	0.039612	0.025000	0.555000	0.038000	1.097050	0.082075	0.000000	0.000000	0.000000	0.000000
87	1425986141579.620361	15942529695.624538	-1.000000	1064399174.938934	18568744461.439999	0.048728	0.026000	0.641000	0.035000	0.858568	0.057322	0.000000	0.000000	0.000000	0.000000
88	694386041579.980591	11270239492.404099	-1.000000	891619422.071915	18568744461.439999	0.023728	0.023000	0.496000	0.039000	0.606947	0.048017	0.000000	0.000000	0.000000	0.000000
89	1154391609059.655029	20264777132.478584	-1.000000	1083054198.895426	18568744461.439999	0.024142	0.021000	0.552000	0.062000	1.091338	0.058327	0.000000	0.000000	0.000000	0.000000
90	1073403666720.239990	13919195409.556734	-1.000000	2474334825.079689	18568744461.439999	0.036680	0.034000	0.663000	0.048000	0.749603	0.133253	0.000000	0.000000	0.000000	0.000000
91	2713675943599.077637	34221891402.942715	-1.000000	848781640.472615	18568744461.439999	0.040333	0.027000	0.638000	0.037000	1.842984	0.045710	0.000000	0.000000	0.000000	0.000000
92	786616427520.043701	11976006280.386705	-1.000000	1407958604.074408	18568744461.439999	0.026880	0.024000	0.589000	0.035000	0.644955	0.075824	0.000000	0.000000	0.000000	0.000000
93	1055552624280.227783	13807339376.808708	-1.000000	1264482721.274308	18568744461.439999	0.036070	0.032000	0.628000	0.041000	0.743580	0.068097	0.000000	0.000000	0.000000	0.000000
94	1038823368660.216309	13701548525.386618	-1.000000	2103086591.798202	18568744461.439999	0.035498	0.025000	0.581000	0.042000	0.737882	0.113259	0.000000	0.000000	0.000000	0.000000
95	884894707620.110962	12680185706.070269	-1.000000	1114702042.631019	18568744461.439999	0.030238	0.025000	0.553000	0.037000	0.682878	0.060031	0.000000	0.000000	0.000000	0.000000
96	475906120959.942139	10626053792.456724	-1.000000	1710819910.339850	18568744461.439999	0.012680	0.016000	0.440000	0.035000	0.572255	0.092134	0.000000	0.000000	0.000000	0.000000
97	419063818000.020386	12250967905.125263	-1.000000	0.000000	18568744461.439999	0.007532	0.028000	0.604000	0.047000	0.659763	0.000000	0.000000	0.000000	0.000000	0.000000
98	822659925780.068359	12239556033.148745	-1.000000	2630259925.047472	18568744461.439999	0.028112	0.020000	0.511000	0.039000	0.659148	0.141650	0.000000	0.000000	0.000000	0.000000
99	1387747843019.687744	15738122883.051126	-1.000000	1599607864.484073	18568744461.439999	0.047422	0.030000	0.636000	0.040000	0.847560	0.086145	0.000000	0.000000	0.000000	0.000000
100	747695302200.017090	11683942644.106447	-1.000000	1446617294.903396	18568744461.439999	0.025550	0.028000	0.614000	0.041000	0.629226	0.077906	0.000000	0.000000	0.000000	0.000000
101	1239720756119.948242	14914531759.882711	-1.000000	2092037282.026016	18568744461.439999	0.042363	0.028000	0.592000	0.034000	0.803206	0.112664	0.000000	0.000000	0.000000	0.000000
102	363580093519.969971	9289973755.317284	-1.000000	0.000000	18568744461.439999	0.009712	0.038000	0.924000	0.040000	0.500302	0.000000	0.000000	0.000000	0.000000	0.000000
103	781315126559.891357	18708769109.281357	-1.000000	1386677046.126646	18568744461.439999	0.011043	0.017000	0.495000	0.038000	1.007541	0.074678	0.000000	0.000000	0.000000	0.000000
104	209324679999.962006	4017657564.409283	-1.000000	0.000000	18568744461.439999	0.017083	0.025000	0.561000	0.040000	0.216367	0.000000	0.000000	0.000000	0.000000	0.000000
105	1232843715179.960205	14874931703.585104	-1.000000	1209199560.719374	18568744461.439999	0.042128	0.028000	0.596000	0.037000	0.801074	0.065120	0.000000	0.000000	0.000000	0.000000
106	915963325200.132202	12893802112.827520	-1.000000	1029498165.695681	18568744461.439999	0.031300	0.025000	0.620000	0.037000	0.694382	0.055443	0.000000	0.000000	0.000000	0.000000
107	1307369378699.829102	15297555194.063324	-1.000000	1411197842.989956	18568744461.439999	0.044675	0.031000	0.655000	0.045000	0.823834	0.075999	0.000000	0.000000	0.000000	0.000000
108	1210505525459.999512	14745426304.656921	-1.000000	1427283609.340893	18568744461.439999	0.041365	0.028000	0.629000	0.044000	0.794099	0.076865	0.000000	0.000000	0.000000	0.000000
109	1297489276100.023926	22068602280.516735	-1.000000	2769383865.583222	18568744461.439999	0.031203	0.021000	0.445000	0.042000	1.188481	0.149142	0.000000	0.000000	0.000000	0.000000
110	566721654319.998657	8397937965.493109	-1.000000	2196489863.085114	18568744461.439999	0.036677	0.022000	0.490000	0.042000	0.452262	0.118290	0.000000	0.000000	0.000000	0.000000
111	109338959680.008041	2915717529.322277	-1.000000	1376520002.252379	18568744461.439999	0.008923	0.041000	0.967000	0.044000	0.157023	0.074131	0.000000	0.000000	0.000000	0.000000
112	384607552040.007019	11157936405.404430	-1.000000	0.000000	18568744461.439999	0.008270	0.017000	0.491000	0.041000	0.600899	0.000000	0.000000	0.000000	0.000000	0.000000
113	304150548239.997925	7509705811.450051	-1.000000	941432804.243356	18568744461.439999	0.010393	0.027000	0.571000	0.038000	0.404427	0.050700	0.000000	0.000000	0.000000	0.000000
114	1189094029200.037109	14620011564.932974	-1.000000	734274894.114282	18568744461.439999	0.040633	0.026000	0.616000	0.038000	0.787345	0.039544	0.000000	0.000000	0.000000	0.000000
115	314234295519.942383	6416547968.393289	-1.000000	918998203.778411	18568744461.439999	0.019830	0.029000	0.787000	0.052000	0.345556	0.049492	0.000000	0.000000	0.000000	0.000000
116	985583909500.021973	17460863064.492912	-1.000000	1039409171.595952	18568744461.439999	0.023950	0.027000	0.656000	0.038000	0.940336	0.055976	0.000000	0.000000	0.000000	0.000000
117	2715922354799.085938	34223325297.060356	-1.000000	737851586.235887	18568744461.439999	0.040517	0.026000	0.648000	0.035000	1.843061	0.039736	0.000000	0.000000	0.000000	0.000000
118	1142271622800.119629	14341222071.948315	-1.000000	2370594487.543336	18568744461.439999	0.039033	0.023000	0.584000	0.037000	0.772331	0.127666	0.000000	0.000000	0.000000	0.000000
119	597856674200.014038	14516941822.495115	-1.000000	3696849268.416668	18568744461.439999	0.011075	0.035000	0.964000	0.035000	0.781794	0.199090	0.000000	0.000000	0.000000	0.000000
120	373906801119.932678	7474589726.475406	-1.000000	1345203864.396798	18568744461.439999	0.021215	0.030000	0.761000	0.036000	0.402536	0.072445	0.000000	0.000000	0.000000	0.000000
121	532653646139.875061	9898762640.786436	-1.000000	1517504896.494422	18568744461.439999	0.018202	0.025000	0.560000	0.036000	0.533087	0.081724	0.000000	0.000000	0.000000	0.000000
122	2952470522818.958984	34750151113.610634	-1.000000	1231413030.540884	18568744461.439999	0.048338	0.034000	0.632000	0.039000	1.871432	0.066316	0.000000	0.000000	0.000000	0.000000
123	806618233799.937866	13195595673.653629	-1.000000	1306009076.387158	18568744461.439999	0.025515	0.021000	0.520000	0.058000	0.710635	0.070334	0.000000	0.000000	0.000000	0.000000
124	300860051279.979248	10044813374.090988	-1.000000	3316423848.249560	18568744461.439999	0.006857	0.041000	1.003000	0.039000	0.540953	0.178602	0.000000	0.000000	0.000000	0.000000
125	1337169889439.776611	15462673145.238882	-1.000000	1068681597.968844	18568744461.439999	0.045693	0.028000	0.629000	0.043000	0.832726	0.057553	0.000000	0.000000	0.000000	0.000000
126	359264422439.968262	8154025737.239726	-1.000000	1803161758.639017	18568744461.439999	0.012277	0.024000	0.478000	0.037000	0.439126	0.097107	0.000000	0.000000	0.000000	0.000000
127	594512226319.934326	10320993323.886202	-1.000000	1293785353.884037	18568744461.439999	0.027368	0.022000	0.611000	0.043000	0.555826	0.069675	0.000000	0.000000	0.000000	0.000000
128	815197604760.063232	12185515547.627764	-1.000000	1238889007.396244	18568744461.439999	0.027857	0.024000	0.631000	0.045000	0.656238	0.066719	0.000000	0.000000	0.000000	0.000000
129	2108731183460.106934	26308216088.131828	-1.000000	1266365974.859935	18568744461.439999	0.045548	0.025000	0.527000	0.038000	1.416801	0.068199	0.000000	0.000000	0.000000	0.000000
130	1097205056640.198975	14066727654.416986	-1.000000	752682768.186995	18568744461.439999	0.037493	0.026000	0.613000	0.037000	0.757549	0.040535	0.000000	0.000000	0.000000	0.000000
131	401569199080.007629	11444464696.918676	-1.000000	0.000000	18568744461.439999	0.008573	0.016000	0.473000	0.044000	0.616329	0.000000	0.000000	0.000000	0.000000	0.000000
132	806221921219.995972	15362710862.138588	-1.000000	999432798.879402	18568744461.439999	0.030285	0.026000	0.645000	0.040000	0.827342	0.053823	0.000000	0.000000	0.000000	0.000000
133	413939336579.938904	8744242356.494217	-1.000000	1526217227.146797	18568744461.439999	0.014145	0.022000	0.542000	0.037000	0.470912	0.082193	0.000000	0.000000	0.000000	0.000000
134	847826969220.085571	12419864961.367422	-1.000000	1398195796.088252	18568744461.439999	0.028972	0.024000	0.623000	0.033000	0.668859	0.075298	0.000000	0.000000	0.000000	0.000000
135	519094657619.882324	9774266833.100235	-1.000000	135192575.742161	18568744461.439999	0.017738	0.026000	0.577000	0.068000	0.526383	0.007281	0.000000	0.000000	0.000000	0.000000
136	2721640492399.107422	34226970678.596138	-1.000000	310032020.956110	18568744461.439999	0.040983	0.037000	0.849000	0.035000	1.843257	0.016696	0.000000	0.000000	0.000000	0.000000
137	964615582899.589722	12534312918.066925	-1.000000	1715678481.043634	18568744461.439999	0.042165	0.029000	0.668000	0.037000	0.675022	0.092396	0.000000	0.000000	0.000000	0.000000
138	709742495120.022095	11545471303.245068	-1.000000	368433332.714312	18568744461.439999	0.030433	0.033000	0.885000	0.037000	0.621769	0.019842	0.000000	0.000000	0.000000	0.000000
139	872662059879.914551	15448693497.917433	-1.000000	620922070.036794	18568744461.439999	0.030698	0.028000	0.689000	0.041000	0.831973	0.033439	0.000000	0.000000	0.000000	0.000000
140	302162596479.995911	9933520984.864914	-1.000000	1271796694.484069	18568744461.439999	0.006582	0.017000	0.433000	0.037000	0.534959	0.068491	0.000000	0.000000	0.000000	0.000000
141	331268525279.983337	7833670086.958397	-1.000000	2598881320.712689	18568744461.439999	0.011320	0.023000	0.586000	0.042000	0.421874	0.139960	0.000000	0.000000	0.000000	0.000000
142	209969228700.012817	6249733461.746329	-1.000000	1331432810.083072	18568744461.439999	0.007175	0.024000	0.586000	0.039000	0.336573	0.071703	0.000000	0.000000	0.000000	0.000000
143	1238915486519.919678	17911167200.159149	-1.000000	1279674336.347709	18568744461.439999	0.034905	0.023000	0.720000	0.051000	0.964587	0.068916	0.000000	0.000000	0.000000	0.000000
144	2594282236559.011719	33646507201.802944	-1.000000	2287749345.713987	18568744461.439999	0.036668	0.029000	0.700000	0.047000	1.811997	0.123204	0.000000	0.000000	0.000000	0.000000
145	2054329511259.861084	25851296473.776241	-1.000000	2042670349.976244	18568744461.439999	0.043948	0.029000	0.615000	0.039000	1.392194	0.110006	0.000000	0.000000	0.000000	0.000000
146	1836668338559.379395	28467362256.301807	-1.000000	1405783181.366054	18568744461.439999	0.025960	0.031000	0.771000	0.089000	1.533080	0.075707	0.000000	0.000000	0.000000	0.000000
147	585084986639.905762	10365047690.482769	-1.000000	2647460982.987814	18568744461.439999	0.019993	0.034000	0.736000	0.065000	0.558199	0.142576	0.000000	0.000000	0.000000	0.000000
148	1444758705439.876221	24776448574.897362	-1.000000	1517366687.485372	18568744461.439999	0.025325	0.027000	0.704000	0.051000	1.334309	0.081716	0.000000	0.000000	0.000000	0.000000
149	374091517799.960327	8318451428.670220	-1.000000	1904101499.141567	18568744461.439999	0.012783	0.024000	0.696000	0.050000	0.447981	0.102543	0.000000	0.000000	0.000000	0.000000
150	1603820896500.027100	22255411940.831966	-1.000000	950045095.667420	18568744461.439999	0.045508	0.031000	0.663000	0.043000	1.198542	0.051164	0.000000	0.000000	0.000000	0.000000
